id,name,border
AWOL,74231,m
Erase (Not the Urza's Legacy One),74275,m
Head to Head,74307,m
Save Life,74277,m
Flaccify,74330,m
Framed!,74218,m
Mise,74304,m
Mouth to Mouth,73949,m
Number Crunch,74337,m
Spell Counter,74339,m
Aesthetic Consultation,74284,m
Booster Tutor,73939,m
Duh,73943,m
Enter the Dungeon,74312,m
Eye to Eye,73936,m
Kill! Destroy!,74322,m
Persecute Artist,74238,m
Stop That,74346,m
Wet Willie of the Damned,74219,m
When Fluffy Bunnies Attack,74274,m
Blast from the Past,74227,m
Deal Damage,74359,m
Face to Face,73966,m
Mana Flair,74266,m
Punctuate,74248,m
Sauté,74242,m
Touch and Go,74349,m
Granny's Payback,74281,m
Graphic Violence,74328,m
Land Aid '04,74259,m
Remodel,74310,m
Side to Side,73948,m
Supersize,74315,m
Symbol Status,74265,m
Ass Whuppin',74329,m
Rare-B-Gone,73968,m
Who,74358,m
What,74358,m
When,74358,m
Where,74358,m
Why,74358,m
Double Dip,5726,o
Get a Life,9743,o
"Look at Me, I'm the DCI",9771,o
Once More with Feeling,9772,o
Prismatic Wardrobe,9744,o
Sex Appeal,5755,o
Denied!,5800,o
Double Take,9894,o
Double Cross,5846,o
Organ Harvest,9752,o
Double Deal,8812,o
Goblin Tutor,9755,o
Landfill,9785,o
"Strategy, Schmategy",9784,o
The Ultimate Nightmare of Wizards of the Coast® Customer Service,9757,o
Double Play,9895,o
Flock of Rabid Sheep,9759,o
Gerrymandering,9761,o
Growth Spurt,9671,o
Incoming!,9788,o
Team Spirit,9763,o
Sewers of Estark,97054,o
Cabal Therapy,265166,m
Duress,270465,m
Entomb,270456,m
Reanimate,270452,m
Exhume,270462,m
Sickening Dreams,270460,m
Buried Alive,270455,m
Last Rites,270457,m
Dread Return,270463,m
Chain Lightning,217977,m
Lightning Bolt,234704,m
Price of Progress,234714,m
Thunderbolt,234716,m
Reverberate,234705,m
Browbeat,234712,m
Flames of the Blood Hand,234718,m
Hammer of Bogardan,234721,m
Pillage,234720,m
Sudden Impact,234701,m
Fireblast,234736,m
Fireball,234703,m
Distant Melody,207926,m
Aphetto Dredging,207925,m
Eightfold Maze,10553,o
Empty City Ruse,10504,o
False Defeat,10509,o
"Guan Yu's 1,000-Li March",10597,o
Misfortune's Gain,10579,o
Peach Garden Oath,10531,o
Rally the Troops,10589,o
Ravages of War,10500,o
Riding Red Hare,10496,o
Vengeance,10631,o
Virtuous Charge,10596,o
Warrior's Stand,10633,o
Balance of Power,10580,o
"Borrowing 100,000 Arrows",10620,o
Brilliant Plan,10623,o
Broken Dam,10621,o
Capture of Jingzhou,10619,o
Champion's Victory,10593,o
Counterintelligence,10628,o
